title,author,year,publication
Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,"Zhang Pengchuan , Dai Xiyang , Yang Jianwei , Xiao Bin , Yuan Lu , Zhang Lei , Gao Jianfeng",2021,ICCV2021
Viewing Graph Solvability via Cycle Consistency,"Arrigoni Federica , Fusiello Andrea , Ricci Elisa , Pajdla Tomas",2021,ICCV2021
Low Curvature Activations Reduce Overfitting in Adversarial Training,"Singla Vasu , Singla Sahil , Feizi Soheil , Jacobs David",2021,ICCV2021
SACoD: Sensor Algorithm Co-Design Towards Efficient CNN-Powered Intelligent PhlatCam,"Fu Yonggan , Zhang Yang , Wang Yue , Lu Zhihan , Boominathan Vivek , Veeraraghavan Ashok , Lin Yingyan",2021,ICCV2021
Adaptive Focus for Efficient Video Recognition,"Wang Yulin , Chen Zhaoxi , Jiang Haojun , Song Shiji , Han Yizeng , Huang Gao",2021,ICCV2021
Audio2Gestures: Generating Diverse Gestures From Speech Audio With Conditional Variational Autoencoders,"Li Jing , Kang Di , Pei Wenjie , Zhe Xuefei , Zhang Ying , He Zhenyu , Bao Linchao",2021,ICCV2021
SnowflakeNet: Point Cloud Completion by Snowflake Point Deconvolution With Skip-Transformer,"Xiang Peng , Wen Xin , Liu Yu-Shen , Cao Yan-Pei , Wan Pengfei , Zheng Wen , Han Zhizhong",2021,ICCV2021
LeViT: A Vision Transformer in ConvNet's Clothing for Faster Inference,"Graham Benjamin , El-Nouby Alaaeldin , Touvron Hugo , Stock Pierre , Joulin Arm, , J\'egou Herv\'e , Douze Matthijs",2021,ICCV2021
Active Universal Domain Adaptation,"Ma Xinhong , Gao Junyu , Xu Changsheng",2021,ICCV2021
FairNAS: Rethinking Evaluation Fairness of Weight Sharing Neural Architecture Search,"Chu Xiangxiang , Zhang Bo , Xu Ruijun",2021,ICCV2021
Keep CALM and Improve Visual Feature Attribution,"Kim Jae Myung , Choe Junsuk , Akata Zeynep , Oh Seong Joon",2021,ICCV2021
AdaMML: Adaptive Multi-Modal Learning for Efficient Video Recognition,"P,a Rameswar , Chen Chun-Fu (Richard) , Fan Quanfu , Sun Ximeng , Saenko Kate , Oliva Aude , Feris Rogerio",2021,ICCV2021
Rethinking 360deg Image Visual Attention Modelling With Unsupervised Learning.,"Djilali Yasser Abdelaziz Dahou , Krishna Tarun , McGuinness Kevin , O{\textquoteright}Connor Noel E.",2021,ICCV2021
An End-to-End Transformer Model for 3D Object Detection,"Misra Ishan , Girdhar Rohit , Joulin Arm,",2021,ICCV2021
Lipschitz Continuity Guided Knowledge Distillation,"Shang Yuzhang , Duan Bin , Zong Ziliang , Nie Liqiang , Yan Yan",2021,ICCV2021
Instance Similarity Learning for Unsupervised Feature Representation,"Wang Ziwei , Wang Yunsong , Wu Ziyi , Lu Jiwen , Zhou Jie",2021,ICCV2021
Mixed SIGNals: Sign Language Production via a Mixture of Motion Primitives,"Saunders Ben , Camgoz Necati Cihan , Bowden Richard",2021,ICCV2021
DocFormer: End-to-End Transformer for Document Understanding,"Appalaraju Srikar , Jasani Bhavan , Kota Bhargava Urala , Xie Yusheng , Manmatha R.",2021,ICCV2021
Spatially-Adaptive Image Restoration Using Distortion-Guided Networks,"Purohit Kuldeep , Suin Maitreya , Rajagopalan A. N. , Boddeti Vishnu Naresh",2021,ICCV2021
Exploiting Sample Correlation for Crowd Counting With Multi-Expert Network,"Liu Xinyan , Li Guorong , Han Zhenjun , Zhang Weigang , Yang Yifan , Huang Qingming , Sebe Nicu",2021,ICCV2021
Unlimited Neighborhood Interaction for Heterogeneous Trajectory Prediction,"Zheng Fang , Wang Le , Zhou Sanping , Tang Wei , Niu Zhenxing , Zheng Nanning , Hua Gang",2021,ICCV2021
Multi-Scale Matching Networks for Semantic Correspondence,"Zhao Dongyang , Song Ziyang , Ji Zhenghao , Zhao Gangming , Ge Weifeng , Yu Yizhou",2021,ICCV2021
LatentCLR: A Contrastive Learning Approach for Unsupervised Discovery of Interpretable Directions,"Y\""uksel O\u{g}uz Kaan , Simsar Enis , Er Ezgi G\""ulperi , Yanardag Pinar",2021,ICCV2021
Few-Shot Visual Relationship Co-Localization,"Teotia Revant , Mishra Vaibhav , Maheshwari Mayank , Mishra An,",2021,ICCV2021
RFNet: Recurrent Forward Network for Dense Point Cloud Completion,"Huang Tianxin , Zou Hao , Cui Jinhao , Yang Xuemeng , Wang Mengmeng , Zhao Xiangrui , Zhang Jiangning , Yuan Yi , Xu Yifan , Liu Yong",2021,ICCV2021
Towards Better Explanations of Class Activation Mapping,"Jung Hyungsik , Oh Youngrock",2021,ICCV2021
Domain Adaptive Video Segmentation via Temporal Consistency Regularization,"Guan Dayan , Huang Jiaxing , Xiao Aoran , Lu Shijian",2021,ICCV2021
PR-Net: Preference Reasoning for Personalized Video Highlight Detection,"Chen Runnan , Zhou Penghao , Wang Wenzhe , Chen Nenglun , Peng Pai , Sun Xing , Wang Wenping",2021,ICCV2021
PoinTr: Diverse Point Cloud Completion With Geometry-Aware Transformers,"Yu Xumin , Rao Yongming , Wang Ziyi , Liu Zuyan , Lu Jiwen , Zhou Jie",2021,ICCV2021
Learn-To-Race: A Multimodal Control Environment for Autonomous Racing,"Herman James , Francis Jonathan , Ganju Siddha , Chen Bingqing , Koul Anirudh , Gupta Abhinav , Skabelkin Alexey , Zhukov Ivan , Kumskoy Max , Nyberg Eric",2021,ICCV2021
SignBERT: Pre-Training of Hand-Model-Aware Representation for Sign Language Recognition,"Hu Hezhen , Zhao Weichao , Zhou Wengang , Wang Yuechen , Li Houqiang",2021,ICCV2021
Improving Low-Precision Network Quantization via Bin Regularization,"Han Tiantian , Li Dong , Liu Ji , Tian Lu , Shan Yi",2021,ICCV2021
Probabilistic Modeling for Human Mesh Recovery,"Kolotouros Nikos , Pavlakos Georgios , Jayaraman Dinesh , Daniilidis Kostas",2021,ICCV2021
Distilling Virtual Examples for Long-Tailed Recognition,"He Yin-Yin , Wu Jianxin , Wei Xiu-Shen",2021,ICCV2021
Understanding and Mitigating Annotation Bias in Facial Expression Recognition,"Chen Yunliang , Joo Jungseock",2021,ICCV2021
