title,author,year,publication,citation
Instance Similarity Learning for Unsupervised Feature Representation,"Wang Ziwei , Wang Yunsong , Wu Ziyi , Lu Jiwen , Zhou Jie",2021,ICCV2021,4
Mixed SIGNals: Sign Language Production via a Mixture of Motion Primitives,"Saunders Ben , Camgoz Necati Cihan , Bowden Richard",2021,ICCV2021,18
DocFormer: End-to-End Transformer for Document Understanding,"Appalaraju Srikar , Jasani Bhavan , Kota Bhargava Urala , Xie Yusheng , Manmatha R.",2021,ICCV2021,86
Spatially-Adaptive Image Restoration Using Distortion-Guided Networks,"Purohit Kuldeep , Suin Maitreya , Rajagopalan A. N. , Boddeti Vishnu Naresh",2021,ICCV2021,589
Exploiting Sample Correlation for Crowd Counting With Multi-Expert Network,"Liu Xinyan , Li Guorong , Han Zhenjun , Zhang Weigang , Yang Yifan , Huang Qingming , Sebe Nicu",2021,ICCV2021,14
Unlimited Neighborhood Interaction for Heterogeneous Trajectory Prediction,"Zheng Fang , Wang Le , Zhou Sanping , Tang Wei , Niu Zhenxing , Zheng Nanning , Hua Gang",2021,ICCV2021,15
Multi-Scale Matching Networks for Semantic Correspondence,"Zhao Dongyang , Song Ziyang , Ji Zhenghao , Zhao Gangming , Ge Weifeng , Yu Yizhou",2021,ICCV2021,0
LatentCLR: A Contrastive Learning Approach for Unsupervised Discovery of Interpretable Directions,"Y\""uksel O\u{g}uz Kaan , Simsar Enis , Er Ezgi G\""ulperi , Yanardag Pinar",2021,ICCV2021,35
Few-Shot Visual Relationship Co-Localization,"Teotia Revant , Mishra Vaibhav , Maheshwari Mayank , Mishra An,",2021,ICCV2021,0
RFNet: Recurrent Forward Network for Dense Point Cloud Completion,"Huang Tianxin , Zou Hao , Cui Jinhao , Yang Xuemeng , Wang Mengmeng , Zhao Xiangrui , Zhang Jiangning , Yuan Yi , Xu Yifan , Liu Yong",2021,ICCV2021,20
Towards Better Explanations of Class Activation Mapping,"Jung Hyungsik , Oh Youngrock",2021,ICCV2021,11
Domain Adaptive Video Segmentation via Temporal Consistency Regularization,"Guan Dayan , Huang Jiaxing , Xiao Aoran , Lu Shijian",2021,ICCV2021,16
PR-Net: Preference Reasoning for Personalized Video Highlight Detection,"Chen Runnan , Zhou Penghao , Wang Wenzhe , Chen Nenglun , Peng Pai , Sun Xing , Wang Wenping",2021,ICCV2021,3
PoinTr: Diverse Point Cloud Completion With Geometry-Aware Transformers,"Yu Xumin , Rao Yongming , Wang Ziyi , Liu Zuyan , Lu Jiwen , Zhou Jie",2021,ICCV2021,145
Learn-To-Race: A Multimodal Control Environment for Autonomous Racing,"Herman James , Francis Jonathan , Ganju Siddha , Chen Bingqing , Koul Anirudh , Gupta Abhinav , Skabelkin Alexey , Zhukov Ivan , Kumskoy Max , Nyberg Eric",2021,ICCV2021,0
SignBERT: Pre-Training of Hand-Model-Aware Representation for Sign Language Recognition,"Hu Hezhen , Zhao Weichao , Zhou Wengang , Wang Yuechen , Li Houqiang",2021,ICCV2021,9000
